Inventory,Vin,Year,Make,Model,Trim,Interior Color,Exterior Color,Odometer Value,Odometer Units,Drivetrain,Transmission Type,Engine Type,MMR,Condition Report Grade,Seller Name,Facilitation Location,Pickup Location,Starts At,Ends At,Lane,Run,Bid Count,Bid Amount,Buy Now Price,Event Sale Name,Seller Comments,Status,Notes
Simulcast,NM0LS7E22K1417513,2019,FORD,XL,XL,Black,White,150414,mi,FWD,Automatic,"4 Cylinder",7100,3.9,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,220,,,,,,Live,
Simulcast,2T3H1RFV7MC113373,2021,TOYOTA,"RAV4 LE",LE,Black,Gray,23848,mi,FWD,Automatic,"4 Cylinder",24400,4.3,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,123,,,,,,Live,
Simulcast,5TDYK3DC0DS353845,2013,TOYOTA,XLE,XLE,Gray,Silver,143052,mi,FWD,Automatic,"6 Cylinder",8725,2.9,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,186,,,,,,Live,
Simulcast,2FMPK3J97LBB55585,2020,FORD,"EDGE SEL",SEL,Black,White,22833,mi,FWD,Automatic,"4 Cylinder Turbo",16250,2.5,"Commercial Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,94,,,,,,Live,
Simulcast,1FMJU1HT4MEA86009,2021,FORD,XLT,XLT,Black,Gray,30678,mi,RWD,Automatic,"6 Cylinder Turbo",36900,4.0,"City Style Imports Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,98,,,,,,Live,
Simulcast,5J6RM3H57CL029392,2012,HONDA,EX,EX,Gray,White,174705,mi,FWD,Automatic,"4 Cylinder",6300,4.5,"Westfall Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,87,,,,,,Live,
Simulcast,SALRTBBV1HA014765,2017,"LAND ROVER","FIRST EDIT","FIRST EDIT",Black,Gray,52272,mi,4WD,Automatic,"6 Cylinder Super",17300,4.6,"Rmktg By Element/car Mart Leasing And Sales","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,13,109,,,,,,Live,
Simulcast,1G1PE5SB9G7185395,2016,CHEVROLET,"CRUZE 1LT",1LT,Gray,Red,138970,mi,FWD,Automatic,"4 Cylinder Turbo",2800,,"Ohana Auto Sales Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,127,,,,,,Live,
Simulcast,3N1CP5BV0ML511816,2021,NISSAN,S,S,Gray,Gray,91810,mi,FWD,CVT,"4 Cylinder",9450,3.9,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,25,,,,,,Live,
Simulcast,1G1105SA4HU171306,2017,CHEVROLET,LT,LT,Gray,Silver,121752,mi,FWD,Automatic,"4 Cylinder",6175,3.3,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,46,,,,,,Live,
Simulcast,1C4HJXEG0KW516924,2019,JEEP,"WRANG MOAB",MOAB,Tan,Red,103207,mi,4WD,Automatic,"6 Cylinder",19600,3.2,"Premium Motor Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,28,,,,,,Live,
Simulcast,1FTBW3X81LKA63475,2020,FORD,"T350 CARGO 4X2",,Gray,White,110346,mi,RWD,Automatic,"6 Cylinder",17850,2.4,"Auto De Cora Jn Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,171,,,,,,Live,
Simulcast,1C4PJLLB6MD130714,2021,JEEP,"LATITUDE +","LATITUDE +",Black,Blue,62400,mi,FWD,Automatic,"4 Cylinder",15750,4.3,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,47,,,,,,Live,
Simulcast,2T2HGCEZXPC027158,2023,LEXUS,"NX 350 LUX","NX 350 LUX",Black,Orange,38868,mi,AWD,Automatic,"4 Cylinder Turbo",30500,1.6,"Lexus Of Pembroke Pines","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,89,,,,,,Live,
Simulcast,JM1GJ1T66E1122428,2014,MAZDA,MAZDA6,"I TOURING",Beige,Red,208954,mi,FWD,Automatic,"4 Cylinder",2000,1.4,"Flex Rent A Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,890,,,,,,Live,
Simulcast,3FA6P0HD8ER165126,2014,FORD,"FUSION SE",SE,Black,Black,116455,mi,FWD,Automatic,"4 Cylinder Turbo",3650,2.7,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,221,,,,,,Live,
Simulcast,3N1AB7AP6EY294796,2014,NISSAN,"SENT SR",SR,Gray,Gray,99237,mi,FWD,CVT,"4 Cylinder",3325,3.8,"Suburban Toyota Of Farmington Hills","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,950,,,,,,Live,
Simulcast,1FTFW1EVXAFB72117,2010,FORD,XL,XL,,White,259346,mi,4WD,Automatic,"8 Cylinder",2000,,"Max Elite Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,127,,,,,,Live,
Simulcast,5NPEG4JA8MH099966,2021,HYUNDAI,SE,SE,Black,Red,34798,mi,FWD,Automatic,"4 Cylinder",15150,3.7,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,132,,,,,,Live,
Simulcast,4S3BNAH63H3059840,2017,SUBARU,"LEGACY 4C",PREMIUM,Black,White,147117,mi,AWD,CVT,"4 Cylinder",5625,3.9,"American Financial","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,167,,,,,,Live,
Simulcast,5NPE24AF7JH677075,2018,HYUNDAI,SE,SE,Gray,Silver,92035,mi,FWD,Automatic,"4 Cylinder",6300,2.5,"American Financial","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,177,,,,,,Live,
Simulcast,2C4RDGCG3KR579894,2019,DODGE,"GRAND CARAVAN",SXT,Black,White,95563,mi,FWD,Automatic,"6 Cylinder",7725,2.5,"Central Florida Chrysler Dodge Jeep Ram","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,836,,,,,,Live,
Simulcast,3GCPCREC8FG239765,2015,CHEVROLET,"1500 LT",LT,Black,Black,158371,mi,RWD,Automatic,"8 Cylinder",8475,1.8,"Superior Remarketing Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,208,,,,,,Live,
Simulcast,WVWPP7AU5FW902007,2015,VOLKSWAGEN,"SEL PRM","SEL PRM",Beige,Blue,61244,mi,FWD,Automatic,Electric,5625,3.5,"Fleet Remarketing","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,211,,,,,,Live,
Simulcast,W1Y40CHY4PT144703,2023,MERCEDES-B,CARGO,CARGO,Black,White,56868,mi,RWD,Automatic,"4 Cylinder Turbo",26200,2.7,"Premium Motor Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,119,,,,,,Live,
Simulcast,2GNALCEK9E6349378,2014,CHEVROLET,"EQUIN LT",LT,Gray,Silver,115882,mi,FWD,Automatic,"4 Cylinder",3600,2.6,"Ebenzz Motors","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,966,,,,,,Live,
Simulcast,2C4RC1BG8HR820262,2017,CHRYSLER,TOURING-L,TOURING-L,Black,Gray,95728,mi,FWD,Automatic,"6 Cylinder",8750,,"Ridgeland Mitsubishi","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,976,,,,,,Live,
Simulcast,WBAVM1C59FV316822,2015,BMW,"28IS MSPT","28IS MSPT",Black,Blue,108536,mi,RWD,Automatic,"4 Cylinder Turbo",3400,2.4,"Prime Remarketing Solutions Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,126,,,,,,Live,
Simulcast,19XFB2F93FE093960,2015,HONDA,EX-L,EX-L,Gray,Gray,89985,mi,FWD,CVT,"4 Cylinder",11250,4.1,"Westfall Auto Sales Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,62,,,,,,Live,
Simulcast,1GKKNPLS3LZ121626,2020,GMC,"ACADIA DEN",DENALI,Black,Black,60378,mi,FWD,Automatic,"6 Cylinder",19850,2.5,"Rmktg By Element/florida Auto Financial Group","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,13,202,,,,,,Live,
Simulcast,2T3H1RFV4PC230171,2023,TOYOTA,"RAV4 LE",LE,Black,Gray,27344,mi,FWD,Automatic,"4 Cylinder",25700,,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,157,,,,,,Live,
Simulcast,3N1CP5BV4NL531634,2022,NISSAN,S,S,Gray,Black,123141,mi,FWD,CVT,"4 Cylinder",8825,4.1,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,158,,,,,,Live,
Simulcast,SAJAG4FV9JCP17041,2018,JAGUAR,S,S,Blue,Black,40045,mi,2WD,Automatic,"6 Cylinder Super",17300,4.7,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,155,,,,,,Live,
Simulcast,WBA4J3C57JBL04114,2018,BMW,"430IX SPT","430IX SPT",Black,White,71141,mi,AWD,Automatic,"4 Cylinder Turbo",14650,,"Florida Financial Acceptance Llc","Manheim Central Florida","FL - Orlando",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,154,,,,,,Preview,
Simulcast,3VWD17AJ5EM294754,2014,VOLKSWAGEN,"JETTA 4C","SE W/CONNE",Black,White,113413,mi,FWD,Automatic,"4 Cylinder Turbo",4475,3.6,"Toyota Of Clermont","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,8,15,,,,,,Live,
Simulcast,5XYPGDA37HG287773,2017,KIA,"SOREN LX",LX,Black,Gray,82850,mi,AWD,Automatic,"4 Cylinder",8575,3.6,"Greenway Ford Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,11,,,,,,Live,
Simulcast,1FTEW1EG9JKE48503,2018,FORD,XLT,XLT,Gray,Gray,106128,mi,4WD,Automatic,"6 Cylinder Turbo",19200,4.6,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,7,,,,,,Live,
Simulcast,5N1BT3CA4NC708078,2022,NISSAN,ROGUE,SL,Black,Red,43384,mi,FWD,CVT,"3 Cylinder Turbo",22600,5.0,"Napleton's Volkswagen Of Orlando","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,17,,,,,,Live,
Simulcast,5XYP64HC2LG031235,2020,KIA,S,S,Black,Green,142272,mi,FWD,Automatic,"6 Cylinder",9800,3.5,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,208,,,,,,Live,
Simulcast,JNKCV54E63M214973,2003,INFINITI,G35,,,Silver,145843,mi,RWD,Automatic,"6 Cylinder",3225,,"Executive Motor Group","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,124,,,,,,Live,
Simulcast,1FTNE2EW1DDA53594,2013,FORD,"E250 COMM",COMMERCIAL,Gray,White,273170,mi,RWD,Automatic,"8 Cylinder",2175,2.1,"Ts Remarketing Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,196,,,,,,Live,
Simulcast,1FTNE24W98DB27562,2008,FORD,"E250 RECRTN",RECREATION,Gray,White,51421,mi,RWD,Automatic,"8 Cylinder",4175,1.2,"Element Fleet Services/remarketing By Element","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,13,288,,,,,,Live,
Simulcast,KM8K1CAAXKU267314,2019,HYUNDAI,"KONA SE",SE,Black,Silver,124382,mi,AWD,Automatic,"4 Cylinder",5775,3.7,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,137,,,,,,Live,
Simulcast,2C4RC1BG6FR645295,2015,CHRYSLER,"TOWN TRG",TOURING,Black,White,104069,mi,FWD,Automatic,"6 Cylinder",6400,4.4,"American Financial","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,180,,,,,,Live,
Simulcast,1N4CZ1CV7PC551718,2023,NISSAN,"LEAF SV PLUS","SV PLUS",Black,Gray,64250,mi,FWD,Automatic,Electric,11650,4.3,"West Financial Acceptance Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,75,,,,,,Live,
Simulcast,1GCWGAFP3P1141486,2023,CHEVROLET,"G2500 CARGO V6",,Gray,White,27924,mi,RWD,Automatic,"6 Cylinder",27700,3.7,"U Haul Truck And Equipment Sales","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,1,79,,,,,,Live,
Simulcast,JTHCF1D25E5014384,2014,LEXUS,"IS 250",,Tan,Silver,94850,mi,AWD,Automatic,"6 Cylinder",13900,3.5,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,144,,,,,,Live,
Simulcast,1FA6P8AM4H5331416,2017,FORD,V6,V6,Black,Gray,123825,mi,RWD,Automatic,"6 Cylinder",9325,,"Performance Auto Center Orlando Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,157,,,,,,Live,
Simulcast,2C3CDXBG1NH216502,2022,DODGE,"CHARGER 4X2 V6",SXT,Black,Gray,49280,mi,RWD,Automatic,"6 Cylinder",19150,4.2,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,152,,,,,,Live,
Simulcast,5NPD74LF5LH615610,2020,HYUNDAI,SE,SE,Black,White,42275,mi,FWD,CVT,"4 Cylinder",11000,,"Lmjj Motors Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,136,,,,,,Live,
Simulcast,JTDEPMAE4NJ212131,2022,TOYOTA,"COR LE",LE,Black,Black,31058,mi,FWD,CVT,"4 Cylinder",18350,4.2,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,107,,,,,,Live,
Simulcast,1FTYE9ZM3FKA25020,2015,FORD,"T150 CARGO V6",,Gray,White,206416,mi,RWD,Automatic,"6 Cylinder",7000,2.5,"Ts Remarketing Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,434,,,,,,Live,
Simulcast,1FMCU0GD9JUC49901,2018,FORD,SE,SE,Black,Gray,108225,mi,FWD,Automatic,"4 Cylinder Turbo",5225,0.0,"Consumer Portfolio Services","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,464,,,,,,Live,
Simulcast,1G6KD54Y63U140046,2003,CADILLAC,DEV,,Gray,Silver,92918,mi,FWD,Automatic,"8 Cylinder",1500,,"Flex Rent A Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,888,,,,,,Live,
Simulcast,SADCL2BV2HA895655,2017,JAGUAR,R-SPORT,R-SPORT,Black,Red,85491,mi,AWD,Automatic,"6 Cylinder Super",9550,2.2,"Sunshine Auto Mall Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,924,,,,,,Live,
Simulcast,WBA8E1G59JNU93366,2018,BMW,320I,320I,Black,Red,45302,mi,RWD,Automatic,"Not Specified",11500,2.3,"City Style Imports Inc","Manheim Central Florida","FL - Orlando",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,82,,,,,,Preview,

